model,arm,naming,branching,role,layer,dim,seed,rho_cond_euc,rho_hyp,delta,shuffle_rho_hyp,n_train,n_val
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,16,3,0.2322,0.2012,-0.031,-0.0398,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,2,4,0.0585,0.1366,0.0781,0.0168,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,3,4,0.0237,0.2033,0.1796,-0.0178,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,5,4,0.0807,0.2583,0.1776,0.0653,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,8,4,0.2015,0.3049,0.1034,0.0615,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,16,4,0.2749,0.3577,0.0828,-0.0051,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,2,5,0.0671,0.1168,0.0497,-0.017,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,3,5,0.0896,0.1371,0.0475,-0.0516,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,5,5,0.0572,0.25,0.1928,-0.0208,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,8,5,0.1267,0.2837,0.157,-0.0319,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,16,5,0.2565,0.366,0.1095,-0.0388,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,2,0,0.0216,0.1002,0.0786,-0.0022,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,3,0,0.0791,0.1591,0.08,-0.0315,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,5,0,0.0893,0.2492,0.16,-0.0338,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,8,0,0.119,0.2707,0.1516,-0.017,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,16,0,0.2599,0.2294,-0.0305,-0.0401,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,2,1,0.0149,0.0844,0.0695,0.0105,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,3,1,0.0292,0.2386,0.2094,-0.0142,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,5,1,0.0901,0.2504,0.1603,-0.0192,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,8,1,0.1352,0.2641,0.1288,-0.03,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,16,1,0.2171,0.3109,0.0938,0.006,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,2,2,0.0438,0.0844,0.0406,0.009,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,3,2,0.0409,0.2132,0.1723,0.018,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,5,2,0.0893,0.2337,0.1444,0.0222,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,8,2,0.1466,0.2798,0.1333,0.035,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,16,2,0.2649,0.1756,-0.0893,0.0244,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,2,3,0.0146,0.0258,0.0112,-0.021,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,3,3,0.0372,0.1459,0.1087,-0.0074,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,5,3,0.0552,0.2638,0.2086,-0.0371,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,8,3,0.1299,0.3351,0.2052,-0.0479,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,16,3,0.2501,0.1698,-0.0803,-0.0038,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,2,4,-0.0043,0.0812,0.0855,0.0028,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,3,4,0.0294,0.1074,0.078,0.0166,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,5,4,0.0413,0.2164,0.175,-0.0245,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,8,4,0.1319,0.2705,0.1386,-0.0209,42,18
