model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,last,background,0.1048,0.1309,0.0616,0.1396,0.0693,0.3772,0.0349,0.0072,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,all,raw,0.142,0.0329,0.0748,0.0418,-0.042,,-0.1002,0.0166,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,all,pca_only,0.1508,0.2167,0.0745,0.1355,0.1422,0.4632,-0.0153,0.018,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,all,per_cloud,0.1826,0.2168,0.1122,0.146,0.1045,0.3268,-0.0366,0.0123,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,all,background,0.1248,0.1309,0.0616,0.1058,0.0693,0.0883,-0.0189,0.0263,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,input,raw,0.2252,0.0329,0.0748,0.1252,-0.042,,-0.1,0.009,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,input,pca_only,0.2274,0.2167,0.0745,0.1365,0.1422,-0.0754,-0.0909,0.0091,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,input,per_cloud,0.2007,0.2168,0.1122,0.1108,0.1045,0.1532,-0.0899,0.0069,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,input,background,0.2554,0.132,0.0649,0.1127,0.0671,-1.8397,-0.1427,0.0068,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,generated,raw,0.1363,0.0329,0.0748,0.0403,-0.042,,-0.0959,0.0171,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,generated,pca_only,0.1459,0.2167,0.0745,0.1328,0.1422,0.498,-0.0131,0.0186,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,generated,per_cloud,0.1782,0.2168,0.1122,0.1317,0.1045,0.3692,-0.0465,0.0116,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,generated,background,0.1205,0.132,0.0649,0.1045,0.0671,0.1708,-0.0161,0.0275,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,thinking,raw,0.1606,0.032,0.0753,0.0339,-0.0433,,-0.1267,0.0108,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,thinking,pca_only,0.1645,0.2172,0.075,0.1216,0.1421,0.3706,-0.0429,0.0113,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,thinking,per_cloud,0.1594,0.2178,0.0947,0.1166,0.1231,0.474,-0.0428,0.0082,99,3584
