model,dataset,layer,token_source,metric,delta_rel,noise_floor,cloud_kind
Qwen/Qwen2.5-7B,prontoqa,8,generated,raw,0.2107,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,8,generated,pca_only,0.2125,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,8,generated,per_cloud,0.1038,0.003,data
Qwen/Qwen2.5-7B,prontoqa,8,generated,background,0.2132,0.0042,data
Qwen/Qwen2.5-7B,prontoqa,8,thinking,raw,0.1794,0.0087,data
Qwen/Qwen2.5-7B,prontoqa,8,thinking,pca_only,0.1797,0.0087,data
Qwen/Qwen2.5-7B,prontoqa,8,thinking,per_cloud,0.0816,0.0027,data
Qwen/Qwen2.5-7B,prontoqa,8,thinking,background,0.1651,0.0082,data
Qwen/Qwen2.5-7B,prontoqa,8,last,raw,0.1563,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,8,last,pca_only,0.1565,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,8,last,per_cloud,0.082,0.0028,data
Qwen/Qwen2.5-7B,prontoqa,8,last,background,0.1502,0.0184,data
Qwen/Qwen2.5-7B,prontoqa,8,all,raw,0.2075,0.0038,data
Qwen/Qwen2.5-7B,prontoqa,8,all,pca_only,0.2095,0.0037,data
Qwen/Qwen2.5-7B,prontoqa,8,all,per_cloud,0.1094,0.0029,data
Qwen/Qwen2.5-7B,prontoqa,8,all,background,0.2086,0.0042,data
Qwen/Qwen2.5-7B,prontoqa,9,input,raw,0.2343,0.0057,data
Qwen/Qwen2.5-7B,prontoqa,9,input,pca_only,0.2366,0.0058,data
Qwen/Qwen2.5-7B,prontoqa,9,input,per_cloud,0.1156,0.0022,data
Qwen/Qwen2.5-7B,prontoqa,9,input,background,0.2484,0.0063,data
Qwen/Qwen2.5-7B,prontoqa,9,generated,raw,0.2178,0.0063,data
Qwen/Qwen2.5-7B,prontoqa,9,generated,pca_only,0.2199,0.0064,data
Qwen/Qwen2.5-7B,prontoqa,9,generated,per_cloud,0.1043,0.003,data
Qwen/Qwen2.5-7B,prontoqa,9,generated,background,0.2166,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,9,thinking,raw,0.1828,0.0082,data
Qwen/Qwen2.5-7B,prontoqa,9,thinking,pca_only,0.1832,0.0082,data
Qwen/Qwen2.5-7B,prontoqa,9,thinking,per_cloud,0.0806,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,9,thinking,background,0.1638,0.0077,data
Qwen/Qwen2.5-7B,prontoqa,9,last,raw,0.1427,0.0076,data
Qwen/Qwen2.5-7B,prontoqa,9,last,pca_only,0.1429,0.0076,data
Qwen/Qwen2.5-7B,prontoqa,9,last,per_cloud,0.0809,0.0024,data
Qwen/Qwen2.5-7B,prontoqa,9,last,background,0.1697,0.0191,data
Qwen/Qwen2.5-7B,prontoqa,9,all,raw,0.2093,0.0043,data
Qwen/Qwen2.5-7B,prontoqa,9,all,pca_only,0.2117,0.0044,data
Qwen/Qwen2.5-7B,prontoqa,9,all,per_cloud,0.109,0.003,data
Qwen/Qwen2.5-7B,prontoqa,9,all,background,0.2073,0.0043,data
Qwen/Qwen2.5-7B,prontoqa,10,input,raw,0.2339,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,10,input,pca_only,0.2362,0.0066,data
Qwen/Qwen2.5-7B,prontoqa,10,input,per_cloud,0.1145,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,10,input,background,0.2488,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,10,generated,raw,0.229,0.0068,data
Qwen/Qwen2.5-7B,prontoqa,10,generated,pca_only,0.2308,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,10,generated,per_cloud,0.1063,0.0031,data
Qwen/Qwen2.5-7B,prontoqa,10,generated,background,0.2175,0.0054,data
Qwen/Qwen2.5-7B,prontoqa,10,thinking,raw,0.1767,0.0079,data
Qwen/Qwen2.5-7B,prontoqa,10,thinking,pca_only,0.1772,0.0079,data
Qwen/Qwen2.5-7B,prontoqa,10,thinking,per_cloud,0.0815,0.0023,data
Qwen/Qwen2.5-7B,prontoqa,10,thinking,background,0.1635,0.0083,data
Qwen/Qwen2.5-7B,prontoqa,10,last,raw,0.1497,0.0077,data
Qwen/Qwen2.5-7B,prontoqa,10,last,pca_only,0.1499,0.0077,data
Qwen/Qwen2.5-7B,prontoqa,10,last,per_cloud,0.0814,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,10,last,background,0.1662,0.0077,data
Qwen/Qwen2.5-7B,prontoqa,10,all,raw,0.2173,0.0053,data
Qwen/Qwen2.5-7B,prontoqa,10,all,pca_only,0.2193,0.0052,data
Qwen/Qwen2.5-7B,prontoqa,10,all,per_cloud,0.1111,0.0029,data
Qwen/Qwen2.5-7B,prontoqa,10,all,background,0.2112,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,11,input,raw,0.2315,0.0066,data
Qwen/Qwen2.5-7B,prontoqa,11,input,pca_only,0.234,0.0066,data
Qwen/Qwen2.5-7B,prontoqa,11,input,per_cloud,0.1154,0.002,data
Qwen/Qwen2.5-7B,prontoqa,11,input,background,0.256,0.0055,data
Qwen/Qwen2.5-7B,prontoqa,11,generated,raw,0.2327,0.006,data
Qwen/Qwen2.5-7B,prontoqa,11,generated,pca_only,0.2343,0.0058,data
Qwen/Qwen2.5-7B,prontoqa,11,generated,per_cloud,0.1055,0.003,data
Qwen/Qwen2.5-7B,prontoqa,11,generated,background,0.2222,0.0051,data
Qwen/Qwen2.5-7B,prontoqa,11,thinking,raw,0.1785,0.0078,data
Qwen/Qwen2.5-7B,prontoqa,11,thinking,pca_only,0.1787,0.0078,data
Qwen/Qwen2.5-7B,prontoqa,11,thinking,per_cloud,0.0816,0.0023,data
Qwen/Qwen2.5-7B,prontoqa,11,thinking,background,0.1593,0.0083,data
Qwen/Qwen2.5-7B,prontoqa,11,last,raw,0.1519,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,11,last,pca_only,0.152,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,11,last,per_cloud,0.0805,0.0026,data
Qwen/Qwen2.5-7B,prontoqa,11,last,background,0.1895,0.0081,data
Qwen/Qwen2.5-7B,prontoqa,11,all,raw,0.2167,0.0043,data
Qwen/Qwen2.5-7B,prontoqa,11,all,pca_only,0.2186,0.0043,data
Qwen/Qwen2.5-7B,prontoqa,11,all,per_cloud,0.1112,0.0027,data
Qwen/Qwen2.5-7B,prontoqa,11,all,background,0.211,0.004,data
Qwen/Qwen2.5-7B,prontoqa,12,input,raw,0.2156,0.0067,data
Qwen/Qwen2.5-7B,prontoqa,12,input,pca_only,0.2179,0.0067,data
Qwen/Qwen2.5-7B,prontoqa,12,input,per_cloud,0.1141,0.0026,data
Qwen/Qwen2.5-7B,prontoqa,12,input,background,0.2411,0.0067,data
Qwen/Qwen2.5-7B,prontoqa,12,generated,raw,0.233,0.006,data
Qwen/Qwen2.5-7B,prontoqa,12,generated,pca_only,0.2346,0.006,data
Qwen/Qwen2.5-7B,prontoqa,12,generated,per_cloud,0.1055,0.0028,data
Qwen/Qwen2.5-7B,prontoqa,12,generated,background,0.2272,0.0053,data
Qwen/Qwen2.5-7B,prontoqa,12,thinking,raw,0.1778,0.0078,data
Qwen/Qwen2.5-7B,prontoqa,12,thinking,pca_only,0.1783,0.0078,data
Qwen/Qwen2.5-7B,prontoqa,12,thinking,per_cloud,0.0813,0.0019,data
Qwen/Qwen2.5-7B,prontoqa,12,thinking,background,0.1651,0.0078,data
Qwen/Qwen2.5-7B,prontoqa,12,last,raw,0.1446,0.0053,data
Qwen/Qwen2.5-7B,prontoqa,12,last,pca_only,0.1447,0.0053,data
Qwen/Qwen2.5-7B,prontoqa,12,last,per_cloud,0.0821,0.0023,data
Qwen/Qwen2.5-7B,prontoqa,12,last,background,0.1774,0.0053,data
