model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
Qwen/Qwen2.5-7B,prontoqa,4,last,background,0.072,0.1384,0.0661,0.1337,0.0723,0.9187,0.0617,0.0039,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,all,raw,0.2281,0.0329,0.0748,0.0681,-0.042,,-0.1599,0.006,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,all,pca_only,0.2375,0.2167,0.0745,0.1193,0.1422,-0.1464,-0.1181,0.0059,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,all,per_cloud,0.201,0.2168,0.1122,0.161,0.1045,0.1506,-0.04,0.0052,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,all,background,0.2134,0.1384,0.0661,0.0984,0.0723,-1.0371,-0.115,0.0075,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,input,raw,0.2492,0.0329,0.0748,0.092,-0.042,,-0.1571,0.0061,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,input,pca_only,0.2536,0.2167,0.0745,0.1297,0.1422,-0.2596,-0.1239,0.006,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,input,per_cloud,0.2087,0.2168,0.1122,0.1476,0.1045,0.0767,-0.0612,0.0044,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,input,background,0.2453,0.1394,0.0728,0.1256,0.0667,-1.5885,-0.1197,0.0081,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,generated,raw,0.2229,0.0329,0.0748,0.0642,-0.042,,-0.1587,0.0069,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,generated,pca_only,0.2357,0.2167,0.0745,0.1185,0.1422,-0.1341,-0.1172,0.0074,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,generated,per_cloud,0.1951,0.2168,0.1122,0.1689,0.1045,0.2077,-0.0262,0.0062,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,generated,background,0.2236,0.1394,0.0728,0.0863,0.0667,-1.2634,-0.1374,0.0072,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,thinking,raw,0.1939,0.0329,0.0748,0.049,-0.042,,-0.1449,0.0159,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,thinking,pca_only,0.1956,0.2167,0.0745,0.0937,0.1422,0.1478,-0.1019,0.0158,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,thinking,per_cloud,0.1357,0.2168,0.1122,0.1195,0.1045,0.7751,-0.0162,0.0076,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,thinking,background,0.2214,0.1394,0.0728,0.1282,0.0667,-1.2304,-0.0932,0.0159,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,last,raw,0.0622,0.0329,0.0748,0.036,-0.042,,-0.0261,0.0158,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,last,pca_only,0.0624,0.2167,0.0745,0.1993,0.1422,1.0852,0.1369,0.0155,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,last,per_cloud,0.1375,0.2168,0.1122,0.2024,0.1045,0.7587,0.0649,0.0067,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,last,background,0.1063,0.1394,0.0728,0.1323,0.0667,0.4966,0.026,0.0147,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,all,raw,0.2275,0.0329,0.0748,0.0689,-0.042,,-0.1585,0.0052,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,all,pca_only,0.2381,0.2167,0.0745,0.1163,0.1422,-0.1508,-0.1217,0.0052,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,all,per_cloud,0.2012,0.2168,0.1122,0.161,0.1045,0.1489,-0.0402,0.0063,100,3584
Qwen/Qwen2.5-7B,prontoqa,5,all,background,0.2295,0.1394,0.0728,0.0958,0.0667,-1.3511,-0.1336,0.0069,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,input,raw,0.242,0.0329,0.0748,0.0999,-0.042,,-0.1421,0.0072,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,input,pca_only,0.2475,0.2167,0.0745,0.1266,0.1422,-0.2172,-0.1209,0.0073,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,input,per_cloud,0.2065,0.2168,0.1122,0.1513,0.1045,0.0979,-0.0553,0.0044,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,input,background,0.2519,0.1372,0.0637,0.1204,0.0735,-1.5608,-0.1315,0.0082,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,generated,raw,0.2156,0.0329,0.0748,0.0804,-0.042,,-0.1352,0.0078,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,generated,pca_only,0.2266,0.2167,0.0745,0.1104,0.1422,-0.0701,-0.1162,0.0083,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,generated,per_cloud,0.1942,0.2168,0.1122,0.1822,0.1045,0.2161,-0.012,0.0069,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,generated,background,0.2181,0.1372,0.0637,0.0807,0.0735,-1.1007,-0.1374,0.007,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,thinking,raw,0.1978,0.0329,0.0748,0.0528,-0.042,,-0.145,0.0146,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,thinking,pca_only,0.1994,0.2167,0.0745,0.0973,0.1422,0.1212,-0.1021,0.0148,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,thinking,per_cloud,0.1336,0.2168,0.1122,0.1175,0.1045,0.7954,-0.0161,0.0076,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,thinking,background,0.2237,0.1372,0.0637,0.1398,0.0735,-1.1771,-0.0839,0.0177,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,last,raw,0.0519,0.0329,0.0748,0.0359,-0.042,,-0.016,0.0135,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,last,pca_only,0.0522,0.2167,0.0745,0.2023,0.1422,1.1567,0.1501,0.013,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,last,per_cloud,0.1461,0.2168,0.1122,0.2066,0.1045,0.6759,0.0605,0.0063,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,last,background,0.113,0.1372,0.0637,0.1297,0.0735,0.3296,0.0168,0.0042,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,all,raw,0.2185,0.0329,0.0748,0.0844,-0.042,,-0.1341,0.0047,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,all,pca_only,0.2286,0.2167,0.0745,0.11,0.1422,-0.0837,-0.1186,0.0054,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,all,per_cloud,0.1997,0.2168,0.1122,0.1665,0.1045,0.1637,-0.0331,0.0066,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,all,background,0.2228,0.1372,0.0637,0.0886,0.0735,-1.1645,-0.1342,0.0073,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,input,raw,0.233,0.0329,0.0748,0.1081,-0.042,,-0.1249,0.0059,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,input,pca_only,0.2399,0.2167,0.0745,0.1227,0.1422,-0.1634,-0.1172,0.0059,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,input,per_cloud,0.2062,0.2168,0.1122,0.1434,0.1045,0.1011,-0.0628,0.0036,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,input,background,0.2464,0.1331,0.0495,0.1112,0.0836,-1.3543,-0.1352,0.0076,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,generated,raw,0.2203,0.0329,0.0748,0.0827,-0.042,,-0.1375,0.0072,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,generated,pca_only,0.2314,0.2167,0.0745,0.1008,0.1422,-0.1039,-0.1306,0.0071,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,generated,per_cloud,0.1894,0.2168,0.1122,0.1724,0.1045,0.2619,-0.017,0.0068,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,generated,background,0.2176,0.1331,0.0495,0.0787,0.0836,-1.0105,-0.1389,0.0076,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,thinking,raw,0.1985,0.0329,0.0748,0.0568,-0.042,,-0.1417,0.0141,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,thinking,pca_only,0.2002,0.2167,0.0745,0.1079,0.1422,0.1156,-0.0923,0.0144,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,thinking,per_cloud,0.1323,0.2168,0.1122,0.1198,0.1045,0.8081,-0.0125,0.0066,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,thinking,background,0.2031,0.1331,0.0495,0.1317,0.0836,-0.8371,-0.0714,0.0165,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,last,raw,0.0391,0.0329,0.0748,0.0362,-0.042,,-0.003,0.0064,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,last,pca_only,0.0398,0.2167,0.0745,0.2041,0.1422,1.2443,0.1644,0.0061,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,last,per_cloud,0.1418,0.2168,0.1122,0.2108,0.1045,0.7168,0.0689,0.0071,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,last,background,0.0859,0.1331,0.0495,0.1266,0.0836,0.564,0.0406,0.0222,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,all,raw,0.2152,0.0329,0.0748,0.0898,-0.042,,-0.1254,0.0061,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,all,pca_only,0.225,0.2167,0.0745,0.0956,0.1422,-0.0589,-0.1294,0.0067,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,all,per_cloud,0.1975,0.2168,0.1122,0.1615,0.1045,0.1845,-0.036,0.007,100,3584
