model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,input,per_cloud,0.2034,0.2168,0.1122,0.155,0.1045,0.1283,-0.0484,0.0047,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,input,background,0.2626,0.1302,0.0731,0.1266,0.0572,-2.3159,-0.136,0.0097,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,generated,raw,0.1997,0.0329,0.0748,0.0576,-0.042,,-0.1421,0.0087,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,generated,pca_only,0.2127,0.2167,0.0745,0.1403,0.1422,0.0279,-0.0724,0.0089,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,generated,per_cloud,0.2064,0.2168,0.1122,0.1527,0.1045,0.0995,-0.0536,0.0054,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,generated,background,0.1792,0.1302,0.0731,0.1464,0.0572,-0.8565,-0.0328,0.007,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,thinking,raw,0.1629,0.0329,0.0748,0.0599,-0.042,,-0.1031,0.0085,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,thinking,pca_only,0.1682,0.2167,0.0745,0.1096,0.1422,0.3411,-0.0586,0.0085,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,thinking,per_cloud,0.1676,0.2168,0.1122,0.0935,0.1045,0.4702,-0.0741,0.0095,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,thinking,background,0.1807,0.1302,0.0731,0.2137,0.0572,-0.8837,0.033,0.0106,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,last,raw,0.0698,0.0329,0.0748,0.038,-0.042,,-0.0317,0.0069,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,last,pca_only,0.0706,0.2167,0.0745,0.1678,0.1422,1.0277,0.0973,0.0068,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,last,per_cloud,0.1381,0.2168,0.1122,0.1661,0.1045,0.7529,0.028,0.0084,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,last,background,0.1158,0.1302,0.0731,0.1374,0.0572,0.2522,0.0216,0.0152,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,all,raw,0.2134,0.0329,0.0748,0.0533,-0.042,,-0.1601,0.0095,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,all,pca_only,0.2268,0.2167,0.0745,0.1428,0.1422,-0.0714,-0.084,0.0095,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,all,per_cloud,0.2056,0.2168,0.1122,0.1525,0.1045,0.1064,-0.0532,0.0063,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,all,background,0.1907,0.1302,0.0731,0.1392,0.0572,-1.0575,-0.0515,0.0066,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,input,raw,0.241,0.0329,0.0748,0.1261,-0.042,,-0.1149,0.0071,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,input,pca_only,0.2431,0.2167,0.0745,0.1615,0.1422,-0.186,-0.0816,0.007,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,input,per_cloud,0.2022,0.2168,0.1122,0.1686,0.1045,0.1391,-0.0336,0.0053,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,input,background,0.2672,0.1329,0.0672,0.1258,0.0657,-2.0448,-0.1414,0.0077,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,generated,raw,0.2017,0.0329,0.0748,0.0546,-0.042,,-0.1471,0.0093,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,generated,pca_only,0.2173,0.2167,0.0745,0.1485,0.1422,-0.0048,-0.0689,0.0091,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,generated,per_cloud,0.2047,0.2168,0.1122,0.1569,0.1045,0.1158,-0.0478,0.0046,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,generated,background,0.1763,0.1329,0.0672,0.1519,0.0657,-0.661,-0.0245,0.0076,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,thinking,raw,0.1615,0.0329,0.0748,0.0647,-0.042,,-0.0968,0.0095,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,thinking,pca_only,0.168,0.2167,0.0745,0.1132,0.1422,0.3424,-0.0548,0.0097,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,thinking,per_cloud,0.1692,0.2168,0.1122,0.0918,0.1045,0.4553,-0.0774,0.0104,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,thinking,background,0.1673,0.1329,0.0672,0.2248,0.0657,-0.5233,0.0575,0.0116,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,last,raw,0.0597,0.0329,0.0748,0.0367,-0.042,,-0.023,0.0045,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,last,pca_only,0.0617,0.2167,0.0745,0.1715,0.1422,1.0901,0.1098,0.0045,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,last,per_cloud,0.1315,0.2168,0.1122,0.1763,0.1045,0.8157,0.0448,0.008,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,last,background,0.1022,0.1329,0.0672,0.1324,0.0657,0.4678,0.0302,0.013,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,all,raw,0.2127,0.0329,0.0748,0.0519,-0.042,,-0.1609,0.0087,100,3584
