model,arm,naming,branching,role,layer,dim,seed,rho_cond_euc,rho_hyp,delta,shuffle_rho_hyp,n_train,n_val
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,5,5,-0.0261,0.1128,0.1389,0.0019,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,8,5,0.086,0.1546,0.0686,-0.0207,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,16,5,0.076,0.1299,0.0539,-0.0017,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,2,0,0.0502,0.0727,0.0225,0.0031,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,3,0,0.0552,0.0995,0.0443,-0.0004,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,5,0,0.0572,0.1597,0.1025,0.026,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,8,0,0.0773,0.179,0.1016,0.0113,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,16,0,0.1384,0.1382,-0.0002,-0.0093,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,2,1,0.0647,0.067,0.0023,-0.011,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,3,1,0.0748,0.1031,0.0283,-0.0129,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,5,1,0.072,0.1591,0.087,-0.0236,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,8,1,0.1164,0.2281,0.1117,-0.0299,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,16,1,0.2073,0.2455,0.0382,-0.0128,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,2,2,0.0392,0.0955,0.0563,-0.0094,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,3,2,0.0372,0.0507,0.0135,0.0327,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,5,2,0.1149,0.1778,0.0629,0.0157,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,8,2,0.1152,0.1486,0.0335,-0.0423,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,16,2,0.1186,0.2557,0.1371,0.0233,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,2,3,0.0212,0.0444,0.0232,-0.0365,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,3,3,0.0342,0.1033,0.0691,-0.0137,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,5,3,0.1101,0.1559,0.0458,-0.0144,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,8,3,0.1635,0.1598,-0.0037,-0.031,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,16,3,0.1828,0.2232,0.0404,-0.0275,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,2,4,0.0734,0.0936,0.0202,-0.0017,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,3,4,0.0644,0.0572,-0.0072,-0.0427,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,5,4,0.0479,0.1016,0.0536,0.0062,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,8,4,0.0919,0.1544,0.0625,0.0186,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,16,4,0.1121,0.1367,0.0246,0.0202,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,2,5,0.0749,0.0621,-0.0128,-0.0026,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,3,5,0.0339,0.0779,0.0439,-0.0108,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,5,5,0.0724,0.118,0.0456,-0.0013,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,8,5,0.0987,0.1885,0.0899,0.0038,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,16,5,0.1368,0.2239,0.0871,0.0002,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,2,0,0.0261,0.0641,0.0381,-0.0042,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,3,0,0.0944,0.077,-0.0175,-0.0388,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,5,0,0.0812,0.1548,0.0736,-0.0128,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,8,0,0.193,0.2011,0.0081,0.018,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,16,0,0.279,0.212,-0.067,-0.0147,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,2,1,0.1608,0.1202,-0.0407,-0.0026,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,3,1,0.1632,0.129,-0.0341,0.0142,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,5,1,0.1088,0.135,0.0262,-0.0168,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,8,1,0.1881,0.1743,-0.0138,0.0293,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,16,1,0.2397,0.0716,-0.168,-0.0529,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,2,2,0.109,0.0918,-0.0171,0.0528,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,3,2,0.1062,0.1574,0.0512,0.0018,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,5,2,0.0433,0.1971,0.1538,0.0255,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,8,2,0.1004,0.1676,0.0672,0.0368,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,16,2,0.2238,0.3133,0.0895,0.0753,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,2,3,0.1286,0.065,-0.0636,-0.0017,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,3,3,0.0972,0.0994,0.0022,-0.0134,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,5,3,0.1323,0.1697,0.0373,-0.0191,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,8,3,0.1419,0.2559,0.114,-0.0191,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,16,3,0.2123,0.268,0.0557,-0.0298,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,2,4,0.1301,0.1163,-0.0138,0.0277,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,3,4,0.1274,0.1337,0.0063,-0.0053,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,5,4,0.1098,0.2048,0.0951,-0.0099,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,8,4,0.1542,0.2279,0.0737,-0.0188,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,16,4,0.1989,0.1693,-0.0296,-0.01,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,2,5,0.0893,0.105,0.0157,-0.0319,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,3,5,0.1057,0.1248,0.0191,-0.0111,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,5,5,0.0842,0.1997,0.1155,-0.0045,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,8,5,0.1333,0.1711,0.0378,-0.0094,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,16,5,0.1973,0.2893,0.0919,0.0198,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,2,0,0.0431,0.0882,0.0451,0.0032,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,3,0,0.0677,0.0733,0.0055,-0.014,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,5,0,0.0673,0.1128,0.0454,0.0045,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,8,0,0.1245,0.1304,0.0059,-0.0074,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,16,0,0.1788,0.0684,-0.1104,-0.0279,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,2,1,0.1181,0.088,-0.0301,-0.0214,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,3,1,0.0823,0.0789,-0.0034,-0.0331,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,5,1,0.1243,0.1633,0.039,-0.0196,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,8,1,0.1156,0.1666,0.051,-0.0404,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,16,1,0.1854,0.1911,0.0057,-0.0594,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,2,2,0.0999,0.0157,-0.0842,0.0266,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,3,2,0.0486,0.0718,0.0232,0.0416,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,5,2,0.1188,0.1491,0.0303,0.0723,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,8,2,0.1507,0.1348,-0.0159,-0.0108,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,16,2,0.1533,0.2314,0.0781,0.0016,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,2,3,0.0725,0.0781,0.0056,-0.03,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,3,3,0.1313,0.07,-0.0613,-0.0097,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,5,3,0.0891,0.0973,0.0082,-0.0039,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,8,3,0.0988,0.1472,0.0484,0.0268,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,16,3,0.2342,0.0107,-0.2236,-0.0061,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,2,4,0.0919,0.0657,-0.0262,0.0115,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,3,4,0.0569,0.0851,0.0282,0.0306,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,5,4,0.0731,0.1753,0.1022,-0.0266,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,8,4,0.1422,0.1736,0.0314,-0.048,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,16,4,0.212,0.2174,0.0054,0.0259,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,2,5,0.0472,0.0716,0.0243,0.0196,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,3,5,0.0529,0.0722,0.0193,-0.0103,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,5,5,0.1312,0.1033,-0.0279,-0.0085,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,8,5,0.0958,0.1757,0.0799,0.0042,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,16,5,0.1541,0.0287,-0.1254,0.0062,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,28,2,0,0.0603,0.0389,-0.0213,0.0049,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,28,3,0,0.0633,0.0994,0.0361,0.0147,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,28,5,0,0.087,0.0969,0.0099,0.0337,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,28,8,0,0.0911,0.146,0.0549,-0.0136,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,28,16,0,0.1912,0.0535,-0.1377,0.0245,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,28,2,1,0.0433,0.0195,-0.0238,-0.005,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,28,3,1,0.0645,0.053,-0.0115,-0.0536,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,28,5,1,0.0927,0.0773,-0.0154,-0.0526,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,28,8,1,0.1488,0.1622,0.0133,-0.014,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,28,16,1,0.1582,0.0522,-0.106,-0.0437,42,18
