model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
Qwen/Qwen2.5-7B,prontoqa,4,input,raw,0.253,0.0329,0.0748,0.1103,-0.042,,-0.1427,0.008,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,input,pca_only,0.2551,0.2167,0.0745,0.161,0.1422,-0.2702,-0.0941,0.008,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,input,per_cloud,0.2103,0.2168,0.1122,0.1988,0.1045,0.0621,-0.0115,0.0049,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,input,background,0.2517,0.1409,0.0687,0.1266,0.0722,-1.533,-0.1251,0.0057,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,generated,raw,0.2105,0.0329,0.0748,0.0447,-0.042,,-0.1658,0.0065,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,generated,pca_only,0.2255,0.2167,0.0745,0.1314,0.1422,-0.0619,-0.094,0.0065,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,generated,per_cloud,0.1911,0.2168,0.1122,0.1453,0.1045,0.2458,-0.0458,0.0077,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,generated,background,0.189,0.1409,0.0687,0.0853,0.0722,-0.6651,-0.1037,0.0058,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,thinking,raw,0.2169,0.0322,0.0761,0.0524,-0.0439,,-0.1645,0.0111,91,3584
Qwen/Qwen2.5-7B,prontoqa,4,thinking,pca_only,0.2186,0.2268,0.0758,0.1642,0.151,0.0543,-0.0544,0.0109,91,3584
Qwen/Qwen2.5-7B,prontoqa,4,thinking,per_cloud,0.1388,0.2276,0.1002,0.1392,0.1273,0.6971,0.0004,0.0081,91,3584
Qwen/Qwen2.5-7B,prontoqa,4,thinking,background,0.2224,0.1412,0.0695,0.1596,0.0716,-1.1334,-0.0628,0.0177,91,3584
Qwen/Qwen2.5-7B,prontoqa,4,last,raw,0.0973,0.0329,0.0748,0.0555,-0.042,,-0.0418,0.0165,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,last,pca_only,0.0974,0.2167,0.0745,0.187,0.1422,0.8386,0.0896,0.0165,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,last,per_cloud,0.1297,0.2168,0.1122,0.1797,0.1045,0.8334,0.0501,0.0072,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,last,background,0.1111,0.1409,0.0687,0.1647,0.0722,0.4127,0.0537,0.0126,100,3584
Qwen/Qwen2.5-7B,prontoqa,4,all,raw,0.2247,0.0329,0.0748,0.0602,-0.042,,-0.1646,0.0065,100,3584
