model,arm,naming,branching,role,layer,dim,seed,rho_cond_euc,rho_hyp,delta,shuffle_rho_hyp,n_train,n_val
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,3,2,0.0004,0.0065,0.006,-0.0263,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,5,2,0.0077,0.0718,0.0641,-0.0018,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,8,2,0.0597,0.0808,0.0211,0.0789,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,16,2,0.0689,0.0901,0.0212,-0.0056,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,2,3,-0.0165,-0.0282,-0.0117,0.0123,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,3,3,-0.0298,-0.0154,0.0144,-0.016,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,5,3,-0.0097,0.0749,0.0846,-0.0146,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,8,3,-0.0148,0.0767,0.0915,-0.0164,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,16,3,0.0744,0.1278,0.0534,0.0137,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,2,4,-0.0274,-0.0357,-0.0083,0.0052,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,3,4,-0.0142,0.0364,0.0506,-0.0037,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,5,4,0.026,0.0819,0.0559,-0.0292,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,8,4,0.0183,0.0813,0.063,-0.0121,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,16,4,0.0534,0.0518,-0.0016,0.0188,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,2,5,-0.0012,0.0378,0.0391,-0.0336,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,3,5,-0.0345,0.0112,0.0457,-0.0044,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,5,5,-0.0082,0.04,0.0482,-0.0398,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,8,5,0.0058,0.1316,0.1258,0.0354,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,16,5,0.0589,-0.0265,-0.0854,-0.0004,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,2,0,0.0402,0.0048,-0.0355,0.0124,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,3,0,0.0142,0.0148,0.0006,-0.0004,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,5,0,-0.0177,0.0527,0.0704,0.0437,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,8,0,0.0333,0.0906,0.0573,0.0237,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,16,0,0.0854,0.0747,-0.0106,-0.0144,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,2,1,0.019,0.0104,-0.0085,-0.0157,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,3,1,0.0081,0.0018,-0.0063,0.0044,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,5,1,0.0202,0.1043,0.0841,0.0076,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,8,1,0.0294,0.0898,0.0604,0.0376,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,16,1,0.0727,0.0407,-0.032,0.0065,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,2,2,0.0192,-0.0077,-0.0268,-0.0067,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,3,2,0.0061,0.0066,0.0005,-0.0423,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,5,2,-0.0189,0.0734,0.0922,0.0116,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,8,2,0.0108,0.0759,0.0651,-0.0465,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,16,2,0.0703,0.0692,-0.0011,0.0243,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,2,3,-0.0406,0.0267,0.0673,0.0122,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,3,3,-0.0392,0.0122,0.0514,0.0134,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,5,3,-0.0521,0.1259,0.178,0.0231,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,8,3,-0.026,0.1005,0.1265,-0.0198,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,16,3,0.0209,0.1238,0.1029,0.0093,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,2,4,0.0115,0.0349,0.0234,0.0235,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,3,4,-0.0009,0.0458,0.0467,-0.0142,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,5,4,0.0075,0.0197,0.0123,0.001,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,8,4,-0.0584,0.0757,0.1341,0.005,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,16,4,0.0635,-0.0241,-0.0876,0.0047,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,2,5,0.0095,0.0221,0.0126,0.0432,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,3,5,0.0048,0.0378,0.0331,0.0372,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,5,5,0.0046,0.1065,0.1019,0.02,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,8,5,0.006,0.1466,0.1407,0.0137,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,16,5,0.0752,0.0399,-0.0353,-0.0359,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,2,0,0.0054,-0.057,-0.0624,-0.0074,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,3,0,-0.0166,0.0017,0.0183,-0.0329,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,5,0,-0.0005,0.1116,0.1121,0.0393,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,8,0,0.0507,0.1092,0.0585,0.0374,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,16,0,0.0564,0.195,0.1386,0.0113,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,2,1,-0.0386,0.0378,0.0763,0.0153,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,3,1,0.037,0.0358,-0.0012,-0.0385,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,5,1,-0.0067,0.0679,0.0746,0.0001,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,8,1,0.0227,0.1383,0.1156,-0.013,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,16,1,0.0686,0.1389,0.0703,-0.0097,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,2,2,0.0042,-0.0152,-0.0194,-0.0345,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,3,2,-0.0071,0.0449,0.052,0.0111,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,5,2,-0.0427,0.0417,0.0844,0.0701,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,8,2,0.0039,0.1,0.0961,-0.0186,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,16,2,0.0733,0.1184,0.0451,0.0093,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,2,3,-0.0147,-0.0213,-0.0066,-0.0282,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,3,3,-0.002,-0.0408,-0.0388,-0.0207,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,5,3,0.0258,0.0773,0.0515,0.0349,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,8,3,0.0455,0.125,0.0795,-0.0464,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,16,3,0.0816,0.0388,-0.0428,-0.0133,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,2,4,0.0496,0.0385,-0.011,-0.0017,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,3,4,0.0118,0.0204,0.0086,0.0298,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,5,4,-0.0025,0.0905,0.0931,-0.0449,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,8,4,0.0168,0.1239,0.107,0.0279,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,16,4,0.0358,0.0632,0.0274,-0.0228,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,2,5,0.0073,0.0251,0.0178,-0.0475,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,3,5,0.0136,0.0547,0.0411,-0.0085,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,5,5,0.019,0.0714,0.0524,-0.0164,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,8,5,0.0162,0.1449,0.1287,-0.026,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,16,5,0.0816,0.122,0.0404,-0.0112,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,2,0,0.0192,0.0196,0.0004,-0.0227,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,3,0,-0.0113,0.0662,0.0775,0.034,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,5,0,0.0756,0.1086,0.033,-0.0086,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,8,0,0.0546,0.1455,0.0909,0.002,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,16,0,0.1529,0.0735,-0.0793,-0.0229,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,2,1,0.0219,-0.0018,-0.0237,-0.0362,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,3,1,0.0518,0.0177,-0.0342,-0.0196,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,5,1,0.072,0.1295,0.0575,-0.0481,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,8,1,0.047,0.1553,0.1082,-0.0523,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,16,1,0.0612,0.0575,-0.0036,-0.0183,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,2,2,0.01,0.0325,0.0225,0.0103,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,3,2,0.0339,0.0286,-0.0053,-0.0168,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,5,2,0.0306,0.0981,0.0675,-0.0149,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,8,2,0.0394,0.1462,0.1068,0.0309,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,16,2,0.0753,0.0821,0.0068,0.0039,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,2,3,0.046,0.0628,0.0168,-0.0064,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,3,3,0.0061,0.0161,0.01,0.0068,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,5,3,-0.0126,0.1259,0.1385,0.0157,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,8,3,0.0682,0.1319,0.0637,-0.0227,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,16,3,0.1176,0.0211,-0.0965,-0.0334,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,2,4,0.0388,0.059,0.0202,-0.0474,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,3,4,0.055,0.0522,-0.0028,-0.0057,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,5,4,0.0801,0.1154,0.0353,-0.0276,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,8,4,0.0827,0.1172,0.0344,-0.0353,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,16,4,0.1222,0.0901,-0.0322,-0.0347,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,2,5,-0.004,-0.0088,-0.0048,0.0487,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,3,5,0.0475,0.0069,-0.0406,0.0384,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,5,5,0.0538,0.0931,0.0392,-0.0408,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,8,5,0.0455,0.0915,0.046,0.007,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,16,5,0.1365,-0.0068,-0.1433,-0.0113,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,2,0,0.0648,0.1159,0.0511,0.0152,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,3,0,0.0733,0.0919,0.0186,-0.0168,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,5,0,0.0474,0.0958,0.0483,-0.0007,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,8,0,0.0957,0.2376,0.1419,0.0302,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,16,0,0.1938,0.2399,0.0461,0.0271,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,2,1,0.0346,0.083,0.0484,-0.0005,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,3,1,0.0351,0.1326,0.0975,0.0709,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,5,1,0.1036,0.13,0.0264,-0.0077,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,8,1,0.108,0.1727,0.0647,-0.0119,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,16,1,0.1796,0.2389,0.0594,0.0166,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,2,2,0.0217,0.0347,0.013,0.0092,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,3,2,0.0201,0.0385,0.0184,0.0668,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,5,2,0.0494,0.0988,0.0494,0.0559,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,8,2,0.1609,0.1524,-0.0085,0.0328,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,16,2,0.1355,0.1741,0.0386,0.0654,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,2,3,0.0497,0.0532,0.0036,0.0018,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,3,3,0.0671,0.0822,0.0151,-0.0082,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,5,3,0.0646,0.1365,0.0718,0.0265,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,8,3,0.0664,0.202,0.1356,-0.0215,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,16,3,0.1578,0.1852,0.0274,-0.0216,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,2,4,0.1123,0.1116,-0.0007,-0.0178,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,3,4,0.0898,0.0766,-0.0132,0.0151,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,5,4,0.0158,0.1642,0.1484,-0.0123,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,8,4,0.0765,0.1058,0.0292,-0.0114,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,16,4,0.1551,0.1253,-0.0297,-0.0395,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,2,5,0.0437,0.1233,0.0795,0.0306,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,3,5,0.0988,0.0381,-0.0607,0.0104,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,5,5,0.0335,0.1733,0.1398,0.0386,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,8,5,0.0881,0.1773,0.0892,-0.0306,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,16,5,0.1717,0.2214,0.0497,0.0007,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,28,2,0,0.1168,0.0455,-0.0713,0.0297,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,28,3,0,0.1111,0.177,0.0659,-0.004,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,28,5,0,0.1309,0.1483,0.0174,0.0005,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,28,8,0,0.2464,0.2392,-0.0072,-0.0125,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,28,16,0,0.31,0.2129,-0.097,0.0042,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,28,2,1,0.0408,0.1063,0.0655,0.0296,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,28,3,1,0.0719,0.1065,0.0345,0.0389,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,28,5,1,0.1192,0.2164,0.0972,-0.0438,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,28,8,1,0.2188,0.2539,0.0351,-0.0477,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,28,16,1,0.2723,0.2727,0.0004,-0.0222,42,18
